title,authors,journal,volume,page,year
,,Select. Stirp. Amer. Hist,216,,1763
,,Catalecta Botanica,2,,1800
,,Man. Herbor. Suisse,,,1811
,,Dictionnaire des Sciences Naturelles,1,,1816
,,Mem. Wern. Nat. Hist. Soc,3,414-415,1820
,,Nat. Arr. Br. Pl,2,,1821
,,Prodr,5,,1836
,,Wochenschrift fur Gartnerei und Pflanzenkunde,2,,1859
,P Schur,Verh. Naturf. Vereins Brünn,36,,1897
Rehmann in Verh,,K.K. Zool.-Bot. Ges. Wien,47,,1897
,,Journal of Japanese Botany,2,,1918
,,Univ. Calif. Publ. Bot,7,,1919
,,Rec. Bot. Surv. India,8,,1921
,,"Proceedings of the California Academy of Sciences, Series",4,,1924
,,J. Fac. Agric. Hokkaido Imp. Univ,36,,1934
,,Contr. Inst. Bot. Univ. Montreal,36,,1940
,,Bull. Jard. Bot. État Bruxelles,17,,1943
,,Acta Phytotax. Geobot,33,,1982
,,,19,,1982
,,Bull. Jard. Bot. Natl. Belg,55,,1985
,,Syst. Bot. Monogr,8,,1985
Fl. Man. Països Catalans,,,,,1990
,,Bocconea,11,,1999
,,Kew Bull,55,,2000
"Norges Svalbard-og Ishavs-Unders kelser, Leder: Adolf Hoel",B Aagaard,Grönland,60,1-307,1944
Rassegna di molluschi marini bentonici e nectonici del Cenozoico Triveneto,"A Abate, A Baglioni, C Bimbatti, G Piccoli",<em>Memorie di Scienze geologiche,40,135-171,1988
Electron microscope studies on the body wall and feeding apparatus of Longidorus macrostoma,", H Aboul-Eid",,15,451-463,1969
Blooming of nomad jelly fish Rhopilema nomadica along the Egyptian Mediterranean coasts,"Abu El Regal, M Temraz",Comm. Int. Mer Medit,41,,2016
"On <i>Microstelma</i> and <i>Onoba</i>, two forms of rissoid gastropods; with notices of new species of the latter from Japan",A Adams,Annals and Magazine of Natural History,,347-349,1863
Seaweeds of new Zealand,", N Adams",,,,1994
"First records of a fossil Hydromedusae of a type of recent Aequoreidae (Hydrozoa, Cnidaria) in the Plattenkalken from Painten.] Erstnachweis einer fossilen Hydromedusae von Typ der rezenten Aequoreidae (Hydrozoa, Cnidaria) in den Plattenkalken von Painten","L Adler, M Roeper, G Jarms, M Rothgaenger",Archaeopteryx,25,15-20,2007
"Non-indigenous Japanese oyster drill Pteropurpura (Ocinebrellus) inornata (Récluz, 1851) (Gastropoda: Muricidae) on the South-west coast of Portugal",C Afonso,Aquatic Invasions,6,85-S88,2011
,,Fl. Lusit. Comment,12,,
"Studies on digenetic trematodes of the family Lepocreadiidae Nicoll, 1935 from marine fishes of India",J Ahmad,di Parassitologia,44,119-124,1983
Mangrove Ecosystem Studies in Latin America and Africa,"A Akoegninou, L Oyedeand, D Toffi",,,292-306,1997
Patterns of cerebral endocrine activity in Nereis diversicolor (Annelida: Polychaeta),"Z Al Sharook, D Golding",<em>Marine Behaviour and Physiology,6,95-104,1979
Salinity adaptations in Ostracoda and Branchiopoda,N Aladin,Trudy Zoologicheskogo Instituta,265,1-206,1996
Sponges from the Swedish west-coast and adjacent waters,H Alander,H. Struves: Gøteborg),,,1942
Variability of mesozooplankton biomass and individual size in a coast-offshore transect in the Catalan Sea: relationships with chlorophyll a and hydrographic features,"M Alcaraz, A Calbet, S Isari, X Irigoien, I Trepat, E Saiz",Scientia Marina,80,79-87,2016
"<i>Hemiscyllium halmahera</i>, a new species of Bamboo Shark (Hemiscylliidae) from Indonesia. <em>Aqua","G Allen, M Erdmann, C Dudgeon",International Journal of Ichthyology,19,123-136,2013
"Über einige freilebende Nematoden aus ""Skelderviken"" und ihre nordische Verbreitung",C Allgén,Zoologica et Hydrobiologica,7,122-130,1934
"On some species of freshwater and terrestrial Nematode genera, found inhabiting southern marine waters. <em>Kungl. Fysiografiska sallskapets i Lund forhandlingar",", C Allgén",,21,177-184,1951
Fin),H Allix,La Feuille des Jeunes Naturalistes,5,41-47,1913
Monografía de las especies del género <i>Pecten</i> del Burdigalense superior y de una <i>Lucina</i> del Helveciense de las provincias de Barcelona y Tarragona,"J Almera, A Bofill Y Poch","<em>Memorias de la Real Academia de Ciencias y Artes de Barcelona, 3ª época",,1-7,1897
"Paradiplozoon iraqensis n. sp. (Monogenea: Diplozoinae) from Cyprinion macrostomum (Cyprinidae) in the Tigris River, Iraq","F Al-Nasiri, J Balbuena",Parasitologica,61,291-298,2016
"A morphological gap for Iberian <i>Zospeum</i> filled: <i>Zospeum percostulatum</i> sp. n. (Gastropoda, Eupulmonata, Carychiidae) a new species from Asturias (Spain)","Á Alonso, C Prieto, S Quiñonero-Salgado, E Rolán",<em>Subterranean Biology,25,35-48,2018
"Le genre Aphyosemion Myers (Pisces, Teleostei, Cyprinodontiformes)",J.-L Amiet,Faune du Cameroun. Sciences Nat,2,1-68,1987
DESCRIPTIONS OF NEORHADINORHYNCHUS NUDUM (CAVISOMIDAE) AND HETEROSENTIS PARAHOLOSPINUS N. SP,"O Amin, R Heckmann, N Ha","ACANTHOCEPHALA) FROM FISH IN THE PACIFIC COAST OF VIETNAM, WITH NOTES ON BIOGEOGRAPHY",,,2018
"Early Paleogene benthic foraminifera of Duwi section, Red Sea coast, Egypt",H Anan,J Am Sci,16,1-22,2020
"Zooplankton and phytoplankton studies in the Waterton Lakes, Alberta, Canada","R Anderson, R Green",der Internationale Vereinigung für Theoretische und Angewandte Limnologie,19,571-579,1975
Weitere Nematoden aus der Tropfsteinhöhle,I Andrássy,Biospeologican Hungarica V.),,1-6,1959
A dozen new nematode species from Hungary,I Andrássy,Zoologica Budapestinensis,,30-39,1985
Two new species of Aporcelaimellus (Nematoda: Dorylaimida) from the Americas,I Andrássy,Zoologica Hungarica,56,1-8,2010
Benthic diatoms as indicators of acidity in streams,"C Andrén, A Jarlman",<em>Fundamental and Applied Limnology / Archiv für Hydrobiologie,173,237-253,2008
Development of a subtidal epifauna community at the island of Helgoland,K Anger,Helgoländer wiss. <em>Meeresunters,31,457-470,1978
"Stomach contents of the catfishes Osteogeneiosus militaris (Linnaeus, 1758) and Arius maculatus (Thunberg, 1792) in the Songkhla Lake","S Angsupanich, S Somsak, J Phrommoon",<em>Songklanakarin Journal of Science and Technology,27,391-402,2005
,,Ann. Bot. Syst,2,,1852
Notes on the freshwater fauna of India. No. X.-Hydra orientalis during the rains,N Annandale,"J. Proc. Asiat. Soc. Beng., n. ser",3,27-28,1907
Fauna of the Chilka Lake. Mollusca Gastropoda (revision). <em>Memoirs of the Indian Museum,", T Annandale",,5,853-873,1924
First report on the Manni fauna of the southwest of Ireland,,Proceedings of the Royal Irish Academy,4,599-638,
"Berichte Über Sections-Sitzungen: 6. Section für Zoologie und Vergleichende Anatomie, 23 September. <em>Tageblatt der 46",,Versammlung Deutscher Naturforscher und Aerzte in Wiebaden vom,18,,1873-09-24
"Male reproductive chacateristics of two parasitic copepods, Lernaeocera branchialis (L.) (Pennellidae) and Lepeophtheirus pectoralis (Müller) (Caligidae)",M Anstensrud,Journal of Crustacean Biology,10,627-638,1990
"Novye svedeniya o redkom gidroide Abietinaria smirnovi (Leptolida, Sertulariidae). New data about a rare hydroid, Abietinaria smirnovi (Leptolida, Sertulariidae)",A Antsulevich,Zool. Zh,58,595-596,1979
"First report of cyclopoid copepods (Oithonidae) from north-eastern Arabian Sea, Karachi, Pakistan","M Ara, S Farooq, M Rabbaniha, A Muhammad",Journal Of Fisheries Sciences,16,1114-1122,2017
"Food habits, ecomorphological patterns and niche breadth of the squeaker, Synodontis schall (Pisces: Siluriformes: Mochokidae) from Niger River in Northern Benin","H Arame, A Adite, K Adjibade, R Imorou, E Sossoukpe, S Stanislas",Journal of Aquatic Biology,9,41-54,2021
Il genera <i>Armadillo</i> Br. emend Arc. (crostacei isopodi terrestri),A Arcangeli,del Istituto e Museo di Zoologia dell'Università di Torino,5,1-5,1957
"Carbonate facies and the lithostrotionid corals of the Mississippian Kogruk Formation, De Long Mountains, northwestern Alaska",A Armstrong,US Geol. Surv. Prof. Paper,664,,1970
"Understanding morphological variability in a taxonomic context in Chilean diplomystids (Teleostei: Siluriformes), including the description of a new species",", G Arratia, C Quezada-Romegialli",,,1-40,2017
Biogeography of Microscopic Organisms: Is Everything Small Everywhere?,"T Artois, D Fontaneto, W Hummon, S Mcinnes, M Todaro, M Sørensen, A Zullini",,,244-283,2011
Health assessment of external parasites of culture Cyprinidae in pen culture of Anzali Lagoon,"A Asadzadeh Mangili, B Mokhayyer, B Jalali",Pajohesh and Sazandegi,47,96-101,2000
"Icones rerum naturalium, ou figures enluminées d'histoire naturelle du Nord",", P Ascanius",,5,41-50,1767
Первые находки нуммулитов в датских отложениях Крыма - First occurrence of Nummulites in Danian sediments of Crimea,"A Ashurov, G Nemkov",Академии наук СССР - Proceedings of the USSR Academy of Sciences,316,464-467,1991
"Zeaxanthinibacter enoshimensis gen. nov., sp. nov., a novel zeaxanthin-producing marine bacterium of the family Flavobacteriaceae, isolated from seawater off Enoshima Island, Japan","D Asker, T Beppu, K Ueda",Int. J. Syst. Evol. Microbiol,57,837-843,2007
Die nordische seegras- oder pyjama-anemone,R Ates,Datz,04,70-72,2004
Why are organisms usually bigger in colder environments? Making sense of a life history puzzle,"D Atkinson, R Sibly",Trends in Ecology and Evolution,12,235-239,1997
Notes de biogéographie sur l'ile Amsterdam (Océan Indien),"Aubert De, La Rue",Compte- Rendu Sommaire des Séances de la Société de Biogéographie,339,5-9,1962
"Novye vidy garpaktitsidnykh kopepod - parasitov os'minigov severo-zapadno chasti Tikhogo okeana. New species of harpacticoid copepods, parasites of octopuses in the north-western Pacific",G Avdeev,Parazitologiya,16,,1982
Der Turbellarien des Eulitorals der Kieler Bucht,P Ax,"Jahrbucherabteilung fur Systematik, Geographie und Biologie de Tierre",80,277-378,1951
A new squat lobster (Crustacea: Decapoda: Anomura: Chirostylidae) from off NW Spain,", K Baba, E Macpherson",,3224,49-56,2012
Mikrofauna und Stratigraphie der Unterkreide im Gebiet des Kleinen Fallsteins bei Osterwieck,Ilse Bach,Geologie,14,,1965
Selectividad en muestreos de zooplancton en el Lago Rapel,"N Bahamonde, R Ruiz",Noticiario Mensual del Museo Nacional de Historia Natural,25,1-2,1981
"Pseudoalteromonas ganghwensis sp. nov., isolated from sea water",", K Baik, J S; Chun",,,,2005
Acute and chronic toxicity of the rice herbicides Thiobencarb and Molinate to opossum shrimp (Neomysis mercedis),H Bailey,Marine Environmental Research,36,197-215,1993
The type of <i>Polyplex</i> Perry,J Baily,Nautilus,74,28-31,1960
Outlines of general zoology,S Baird,,,197-243,1851
Ecological and parasitological characteristics of the small redfish Sebastes viviparus (Pisces: Scorpaenidae),Y Bakay,St. Petersburg),50,345-356,2016
A new class of echinodermata from New Zealand,"A Baker, F Rowe, H Clark",Nature,321,862-864,1986
Di alcuni Spongiarii del Golfo di Napoli,G Balsamo Crivelli,<em>Atti della Società Italiana di Scienze Naturali e del Museo Civico di Storia Naturale,5,1-19,1863
Ostasiatische Stomatopoden. - Abh. bayer,H Balss,Akad. Wiss,2,1-11,1910
Über eine neue Pontoniide aus dem Golf von Neapel,H Balss,della Stazione Zoologica di Napoli,22,523-526,1921
Respiration and excretion rates of Calanus glacialis in arctic waters of the Barents Sea,"U Bamstedt, K Tande",Marine Biology,87,1-5,1985
"Contributions to the knowledge of the alpheid shrimp of the Pacific Ocean. Part XVI. A new shrimp of the genus <i>Synalpheus</i> (Decapoda, Alpheidae) from Palau","A Banner, D Banner",<em>Micronesica,8,137-139,1972
Givetian Stringocephalid brachiopods from eastern Yunnan of Southwest China with notes on global distribution of the family Stringocephalidae,", V Baranov, L Qiao, R Blodgett",,30,44-61,2021
"The generic names Australorbis, Biomphalaria, Platytaphius, Taphius and Tropicorbis (Mollusca, Planorbidae)","F Barbosa, B Hubendick, E Malek, C Wright",<em>Journal of Natural History Series,13,371-375,1961
"The use of integumental pore signature in the characterisation of species of the genus Thermocyclops Kiefer, 1927: The case of Thermocyclops emini (Mrazek, 1895) (Crustacea: Copepoda: Cyclopoida)","D Baribwegure, H Dumont",Belgian Journal of Zoology,129,187-199,1999
Hydrophanous periostracum on Philippine land shells,J Barnett,Papustyla,,,1993-05
"Tortaguttus, a new unilocular foraminiferal genus","R Barrick, A Beverage, R Patterson, J Schubert",Studies in Geology and Paleontology,22,65-67,1989
The genus Halimeda,E Barton,Expeditie Monographe LX,,1-32,1901
"A high-speed, opening-closing plankton sampler (Catcher II) and its electrical accessories","B Bary, E Mck",Deep-Sea Research,17,1-4,1970
"Miocene ostracods of the southern Mediterranean: a first record from Wadi Um Ashtan, Mersa Matruh, Western Desert Egypt","Mohamed A; Bassiouni, M Ashraf",Neues Jahrbuch für Geologie und Palaeontologie.Monatshefte,8,449-466,2000
The distribution of living (stained) benthic foraminifera in Iskundrun Bay (Eastern Turkey): a statistical approach,"D Basso, S Spezzaferri",Bolletino della Societa Paleontologica Italiana,39,359-379,2000
Stratigraphy and paleontology of an occurrence of diatomaceous earth in Nebraska,"J Bates, G Biemesderfer",Journal of Paleontology,34,759-761,1960
"Permian gastropods and chitons from Perak, Malaysia. Part 1, Chitons, bellerophontids, euomphalids and pleurotomarians",R Batten,of the American Museum of Natural History,147,1-44,1972
Scientific results of explorations by the U. S. Fish Commission steamer Albatross. No. VIII. Description of a new cottoid fish from British Columbia,T Bean,the United States National Museum,12,641-642,1890
"The genus Eurycercus Baird, 1843 (Cladocera: Eurycercidae) in the Neotropics","E Bekker, A Kotov, L Elmoor-Loureiro",<em>Journal of Natural History,44,2481-2508,2010
"The Free-Living Nematodes Oncholaimium paraolium Sp N and Viscosia stenostoma Platonova, 1971 from the Sea of Japan (Svobodnozhivushchie Nematody - Oncholaimium paraolium Sp. N. i Viscosoma Stenosoma Platonova, 1971 iz Iaponskogo Moria)","O Belogurov, N Fadeeva",Biologiia Morya,2,38-44,1980
"Atrioplanaria morisii n. sp., a new cave planarian from Italy","M Benazzi, N Gourbault",Boll Zool,44,327-335,1977
"Le genre <i>Moitessieria</i> Bgt, 1863 en France: Révision, inventaire et description de <i>M. corsica</i> n. sp. (Mollusca Gasteropoda Prosobranchia Hydrobiidae)",R Bernasconi,<em>Mémoires de Biospéologie,21,7-20,1994
Distinguishing live from dead foraminifera: Methods review and proper application,J Bernhard,"Micropaleontology, Supplement",46,38-46,2000
Spatial and temporal growth patterns in colonial organisms,N Berrill,Third Growth Symposium,5,89-111,1941
"Liste des foraminifères recueillis dans la baie de Bourgneuf et à Pornichet, suivie de la traduction des Renseignements sur la manière de récolter les microzoaires marins publiés",G Berthelin,académique de Nantes du départment de la Loire-Inférieure,5,203-255,1878
Mesopredator-mediated trophic cascade can break persistent phytoplankton blooms in coastal waters,", M Berthold, R Schumann, V Reiff, R Wulff, H Schubert",,,1-16,2023
"Riffkorallen im Norddeutschen Oberjura - Taxonomie, Oekologie, Verteilung",M Bertling,"Palaeontographica, A",226,77-123,1993
"Some late Pleistocene and Recent ostracoda from parts of Punjab and the Union Territory of Chandigarh, India","S B; Bhatia, D Singh",Recent Researches in Geology,3,399-414,1977
Beitrag zur Kenntnis alpiner Leptoiuliden,W Bigler,Revue suisse de Zoologie,27,283-333,1919
"Two new species of Leporinus Agassiz (Characiformes: Anostomidae) from eastern basins of Brazil, and redescription of L. melanopleura Günther","J Birindelli, H Britski, J Garavello",Ichthyology,11,9-23,2013
